BayesianSearch: Testing config: {'topK': 700, 'shrink': 200, 'similarity': 'cosine', 'normalize': True} - Exception unsupported format string passed to Novelty.__format__
BayesianSearch: Config is suboptimal. Config: {'topK': 1100, 'shrink': 6, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.23795303731306233, 'PRECISION': 0.13005702634911018, 'RECALL': 0.12803115836487425, 'RECALL_TEST_LEN': 0.13005702634911018, 'MAP': 0.05657771956706531, 'MRR': 0.17779298319941236, 'NDCG': 0.10484904151124752, 'F1': 0.1290361413128673, 'HIT_RATE': 0.6073197856637347, 'ARHR': 0.21574960722670614, 'NOVELTY': 0.005560607965022831, 'DIVERSITY_MEAN_INTER_LIST': 0.9862695391905235, 'DIVERSITY_HERFINDAHL': 0.9986169825355806, 'COVERAGE_ITEM': 0.21560455536709475, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.2244983306808255, 'SHANNON_ENTROPY': 10.300535302226793}
BayesianSearch: Config is suboptimal. Config: {'topK': 300, 'shrink': 28, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.2195301123516176, 'PRECISION': 0.1224275957139171, 'RECALL': 0.1206820232589321, 'RECALL_TEST_LEN': 0.1224275957139171, 'MAP': 0.054516639884440346, 'MRR': 0.1633525667875071, 'NDCG': 0.09870874845625151, 'F1': 0.12154854271835414, 'HIT_RATE': 0.5626326963906582, 'ARHR': 0.19951832112887474, 'NOVELTY': 0.005973802089309718, 'DIVERSITY_MEAN_INTER_LIST': 0.9953598470037258, 'DIVERSITY_HERFINDAHL': 0.99952592141206, 'COVERAGE_ITEM': 0.3930215653016719, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.3351295686912884, 'SHANNON_ENTROPY': 11.777978861036853}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 198, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.1464068986877605, 'PRECISION': 0.07838792039580696, 'RECALL': 0.07744771099503801, 'RECALL_TEST_LEN': 0.07838792039580696, 'MAP': 0.034630448074488084, 'MRR': 0.10540586841011503, 'NDCG': 0.06313261354102752, 'F1': 0.07791497939377118, 'HIT_RATE': 0.35850773430391264, 'ARHR': 0.12721557837572378, 'NOVELTY': 0.006372779017284001, 'DIVERSITY_MEAN_INTER_LIST': 0.9976869515739764, 'DIVERSITY_HERFINDAHL': 0.9997586083415896, 'COVERAGE_ITEM': 0.577610855342864, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.4301918478530072, 'SHANNON_ENTROPY': 12.693477985119118}
BayesianSearch: Config is suboptimal. Config: {'topK': 1400, 'shrink': 198, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.23700326415067136, 'PRECISION': 0.12894169463019944, 'RECALL': 0.12693870945097968, 'RECALL_TEST_LEN': 0.12894169463019944, 'MAP': 0.05634694338292418, 'MRR': 0.176945451452578, 'NDCG': 0.10418710213133087, 'F1': 0.1279323625390799, 'HIT_RATE': 0.6005459508644222, 'ARHR': 0.21416607690492862, 'NOVELTY': 0.0056085649725648706, 'DIVERSITY_MEAN_INTER_LIST': 0.9879136603129828, 'DIVERSITY_HERFINDAHL': 0.9987813780254312, 'COVERAGE_ITEM': 0.23353525563363217, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.2307895605670271, 'SHANNON_ENTROPY': 10.46122394418143}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 0, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.22842317771647522, 'PRECISION': 0.12835313648932103, 'RECALL': 0.12669468809009693, 'RECALL_TEST_LEN': 0.12835313648932103, 'MAP': 0.05659905235586413, 'MRR': 0.1694042443587477, 'NDCG': 0.10277109283446578, 'F1': 0.12751852025961144, 'HIT_RATE': 0.5780002022040238, 'ARHR': 0.2060046169918769, 'NOVELTY': 0.005882488526068908, 'DIVERSITY_MEAN_INTER_LIST': 0.9941352348280791, 'DIVERSITY_HERFINDAHL': 0.9994034725755707, 'COVERAGE_ITEM': 0.3895808093045796, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.31704395573442057, 'SHANNON_ENTROPY': 11.623792386951262}
BayesianSearch: Config is suboptimal. Config: {'topK': 1400, 'shrink': 140, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.23693039848635888, 'PRECISION': 0.12908123145460126, 'RECALL': 0.12707031601267416, 'RECALL_TEST_LEN': 0.12908123145460126, 'MAP': 0.056342312884031256, 'MRR': 0.17675042888115267, 'NDCG': 0.10421226670081027, 'F1': 0.1280678803967546, 'HIT_RATE': 0.6013547669598625, 'ARHR': 0.21405911739548183, 'NOVELTY': 0.005608516925278839, 'DIVERSITY_MEAN_INTER_LIST': 0.9879109697114116, 'DIVERSITY_HERFINDAHL': 0.9987811089924766, 'COVERAGE_ITEM': 0.2335837169857039, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.23066146153831799, 'SHANNON_ENTROPY': 10.460781248946134}
BayesianSearch: Config is suboptimal. Config: {'topK': 1400, 'shrink': 168, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.23709353380418038, 'PRECISION': 0.12897086175824435, 'RECALL': 0.12696695746982523, 'RECALL_TEST_LEN': 0.12897086175824435, 'MAP': 0.0563520466273359, 'MRR': 0.1769239472151199, 'NDCG': 0.10419524860188038, 'F1': 0.12796106467652368, 'HIT_RATE': 0.6006470528763522, 'ARHR': 0.21415408107097336, 'NOVELTY': 0.005608609320158025, 'DIVERSITY_MEAN_INTER_LIST': 0.9879151528199335, 'DIVERSITY_HERFINDAHL': 0.9987815272610368, 'COVERAGE_ITEM': 0.23353525563363217, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.23075856713697981, 'SHANNON_ENTROPY': 10.461154938299316}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 138, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.14738663335114696, 'PRECISION': 0.07863927123102192, 'RECALL': 0.07768877678951758, 'RECALL_TEST_LEN': 0.07863927123102192, 'MAP': 0.03484686272292902, 'MRR': 0.10613508673108334, 'NDCG': 0.06344355281377247, 'F1': 0.0781611344466413, 'HIT_RATE': 0.36002426448286323, 'ARHR': 0.1281642923741799, 'NOVELTY': 0.006371132783782391, 'DIVERSITY_MEAN_INTER_LIST': 0.9976858884183403, 'DIVERSITY_HERFINDAHL': 0.9997585020367747, 'COVERAGE_ITEM': 0.577271625878362, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.4300189415421344, 'SHANNON_ENTROPY': 12.69224504362543}
BayesianSearch: New best config found. Config: {'topK': 500, 'shrink': 10, 'similarity': 'cosine', 'normalize': True} - results: {'ROC_AUC': 0.2411536461718456, 'PRECISION': 0.13348105460632, 'RECALL': 0.13159498960013186, 'RECALL_TEST_LEN': 0.13348105460632, 'MAP': 0.05866013248426474, 'MRR': 0.17890141430481016, 'NDCG': 0.10731653661249911, 'F1': 0.1325313122528164, 'HIT_RATE': 0.6142958244869073, 'ARHR': 0.21838367571609762, 'NOVELTY': 0.005749047699224769, 'DIVERSITY_MEAN_INTER_LIST': 0.9919961329758268, 'DIVERSITY_HERFINDAHL': 0.9991895840170956, 'COVERAGE_ITEM': 0.2881996607705355, 'COVERAGE_USER': 0.1960710462672957, 'DIVERSITY_GINI': 0.27796983420561866, 'SHANNON_ENTROPY': 11.046998905392913}
BayesianSearch: Best result evaluated on URM_test. Config: {'topK': 500, 'shrink': 10, 'similarity': 'cosine', 'normalize': True} - results: CUTOFF: 10 - ROC_AUC: 0.2649076, PRECISION: 0.1256867, RECALL: 0.1099653, RECALL_TEST_LEN: 0.1256867, MAP: 0.0582144, MRR: 0.2152530, NDCG: 0.1029242, F1: 0.1173016, HIT_RATE: 0.8307662, ARHR: 0.2890700, NOVELTY: 0.0057515, DIVERSITY_MEAN_INTER_LIST: 0.9920237, DIVERSITY_HERFINDAHL: 0.9991924, COVERAGE_ITEM: 0.2899443, COVERAGE_USER: 0.1981921, DIVERSITY_GINI: 0.2775799, SHANNON_ENTROPY: 11.0531992, 
