BayesianSearch: Config is suboptimal. Config: {'topK': 10, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9600353747278743, 'feature_weighting': 'none'} - results: {'ROC_AUC': 0.04256212190412092, 'PRECISION': 0.014890347187166936, 'RECALL': 0.014250944178752974, 'RECALL_TEST_LEN': 0.014890347187166936, 'MAP': 0.006515858246564856, 'MRR': 0.029956691746191984, 'NDCG': 0.013304728147343877, 'F1': 0.014563630959383789, 'HIT_RATE': 0.08652195860676426, 'ARHR': 0.033990288694983294, 'NOVELTY': 0.007325393487781082, 'DIVERSITY_MEAN_INTER_LIST': 0.5750819008366231, 'DIVERSITY_HERFINDAHL': 0.957502384107884, 'COVERAGE_ITEM': 0.2976980857765932, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.14993748225328118, 'SHANNON_ENTROPY': 6.849173134478004}
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'shrink': 300, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.014955400423911636, 'feature_weighting': 'TF-IDF'} - results: {'ROC_AUC': 0.0842721328814214, 'PRECISION': 0.03403263543344301, 'RECALL': 0.03281939529926979, 'RECALL_TEST_LEN': 0.03403263543344301, 'MAP': 0.01525764129665177, 'MRR': 0.06006702563239662, 'NDCG': 0.029652895998437255, 'F1': 0.03341500633935276, 'HIT_RATE': 0.18374558303886926, 'ARHR': 0.06908447713596631, 'NOVELTY': 0.006708616418086495, 'DIVERSITY_MEAN_INTER_LIST': 0.786865266477416, 'DIVERSITY_HERFINDAHL': 0.9786785825259195, 'COVERAGE_ITEM': 0.2401259995153865, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.15214089540709377, 'SHANNON_ENTROPY': 8.172318787991728}
BayesianSearch: Config is suboptimal. Config: {'topK': 700, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0026461580880958735, 'feature_weighting': 'none'} - results: {'ROC_AUC': 0.08314416320120521, 'PRECISION': 0.03466230779708813, 'RECALL': 0.033488998741255736, 'RECALL_TEST_LEN': 0.03466230779708813, 'MAP': 0.015170023719286342, 'MRR': 0.05930670737081638, 'NDCG': 0.029727787601562656, 'F1': 0.034065553285690886, 'HIT_RATE': 0.18626956082786472, 'ARHR': 0.06847415526870347, 'NOVELTY': 0.006729632193025346, 'DIVERSITY_MEAN_INTER_LIST': 0.7871228895835151, 'DIVERSITY_HERFINDAHL': 0.9787043422355894, 'COVERAGE_ITEM': 0.24225829900654228, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.157047676930843, 'SHANNON_ENTROPY': 8.21083867773243}
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'shrink': 200, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.12227027294966364, 'feature_weighting': 'none'} - results: {'ROC_AUC': 0.08319754733459943, 'PRECISION': 0.034561348685528306, 'RECALL': 0.033388039629695915, 'RECALL_TEST_LEN': 0.034561348685528306, 'MAP': 0.015183593359006797, 'MRR': 0.059423892053876874, 'NDCG': 0.029728900206805117, 'F1': 0.03396456416104678, 'HIT_RATE': 0.1861686017163049, 'ARHR': 0.0685949856974592, 'NOVELTY': 0.006729772595092028, 'DIVERSITY_MEAN_INTER_LIST': 0.787121225960029, 'DIVERSITY_HERFINDAHL': 0.9787041758900367, 'COVERAGE_ITEM': 0.24235522171068571, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.15707564122256196, 'SHANNON_ENTROPY': 8.211179139478944}
BayesianSearch: Config is suboptimal. Config: {'topK': 600, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8921166053584488, 'feature_weighting': 'TF-IDF'} - results: {'ROC_AUC': 0.08356471799556096, 'PRECISION': 0.03493882358597146, 'RECALL': 0.03373515322340297, 'RECALL_TEST_LEN': 0.03493882358597146, 'MAP': 0.015354989654171149, 'MRR': 0.060145789764669125, 'NDCG': 0.030022139423787744, 'F1': 0.03432643985042373, 'HIT_RATE': 0.1879858657243816, 'ARHR': 0.06929841430093836, 'NOVELTY': 0.00673616925915173, 'DIVERSITY_MEAN_INTER_LIST': 0.7873147424767929, 'DIVERSITY_HERFINDAHL': 0.9787235255879875, 'COVERAGE_ITEM': 0.2478313544947904, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.16224378319351535, 'SHANNON_ENTROPY': 8.254000203418615}
BayesianSearch: Config is suboptimal. Config: {'topK': 700, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9628313715037484, 'feature_weighting': 'none'} - results: {'ROC_AUC': 0.0678354606860413, 'PRECISION': 0.026470878103891586, 'RECALL': 0.025606379165656647, 'RECALL_TEST_LEN': 0.026470878103891586, 'MAP': 0.011510591008890313, 'MRR': 0.04719682219177413, 'NDCG': 0.02288542848037145, 'F1': 0.026031453156903413, 'HIT_RATE': 0.1397274103987885, 'ARHR': 0.05292508994174811, 'NOVELTY': 0.006846138912543773, 'DIVERSITY_MEAN_INTER_LIST': 0.7882203061556516, 'DIVERSITY_HERFINDAHL': 0.9788140728133828, 'COVERAGE_ITEM': 0.24385752362490914, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.18332625670072725, 'SHANNON_ENTROPY': 8.3748059200271}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 100, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.007972086592590966, 'feature_weighting': 'TF-IDF'} - results: {'ROC_AUC': 0.08469652572454207, 'PRECISION': 0.03338858040271456, 'RECALL': 0.03228105231531345, 'RECALL_TEST_LEN': 0.03338858040271456, 'MAP': 0.015153067186266496, 'MRR': 0.06038132096183591, 'NDCG': 0.029442655740438358, 'F1': 0.032825477046354454, 'HIT_RATE': 0.18021201413427562, 'ARHR': 0.06884662227670812, 'NOVELTY': 0.00675034217040603, 'DIVERSITY_MEAN_INTER_LIST': 0.7879718166686918, 'DIVERSITY_HERFINDAHL': 0.9787892263734147, 'COVERAGE_ITEM': 0.2502059607463048, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.16815324983157187, 'SHANNON_ENTROPY': 8.32095638922972}
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.20991132907200027, 'feature_weighting': 'TF-IDF'} - results: {'ROC_AUC': 0.08496818185460292, 'PRECISION': 0.034361073051128524, 'RECALL': 0.03314421654097873, 'RECALL_TEST_LEN': 0.034361073051128524, 'MAP': 0.015381714836550634, 'MRR': 0.06028689214201591, 'NDCG': 0.029893124314539363, 'F1': 0.03374167721280762, 'HIT_RATE': 0.18536092882382635, 'ARHR': 0.06929661145966064, 'NOVELTY': 0.006713687280323395, 'DIVERSITY_MEAN_INTER_LIST': 0.786962655730245, 'DIVERSITY_HERFINDAHL': 0.9786883204679692, 'COVERAGE_ITEM': 0.2403683062757451, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.1548514068492444, 'SHANNON_ENTROPY': 8.190293442286237}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 10, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.007099464202313666, 'feature_weighting': 'none'} - results: {'ROC_AUC': 0.08206309543841112, 'PRECISION': 0.03303434212318607, 'RECALL': 0.03195492205872544, 'RECALL_TEST_LEN': 0.03303434212318607, 'MAP': 0.01482600109518632, 'MRR': 0.058383572510276205, 'NDCG': 0.02884057338515476, 'F1': 0.03248566793595087, 'HIT_RATE': 0.17688036345280161, 'ARHR': 0.06676550243183267, 'NOVELTY': 0.006770232343344394, 'DIVERSITY_MEAN_INTER_LIST': 0.7879070964143206, 'DIVERSITY_HERFINDAHL': 0.9787827550013875, 'COVERAGE_ITEM': 0.2506421129149503, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.16968616900180558, 'SHANNON_ENTROPY': 8.33255599447105}
BayesianSearch: Config is suboptimal. Config: {'topK': 300, 'shrink': 200, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.04447699287740403, 'feature_weighting': 'BM25'} - results: {'ROC_AUC': 0.0819806454973039, 'PRECISION': 0.03440185732714755, 'RECALL': 0.03322299901777847, 'RECALL_TEST_LEN': 0.03440185732714755, 'MAP': 0.015120778919004912, 'MRR': 0.0589523889650089, 'NDCG': 0.029503123404280455, 'F1': 0.033802153053308005, 'HIT_RATE': 0.1838465421504291, 'ARHR': 0.0681081784892992, 'NOVELTY': 0.006785522287394093, 'DIVERSITY_MEAN_INTER_LIST': 0.7879196857219514, 'DIVERSITY_HERFINDAHL': 0.9787840138050501, 'COVERAGE_ITEM': 0.2570874727404895, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.17659558112662074, 'SHANNON_ENTROPY': 8.361170417383846}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 300, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0026853895084535395, 'feature_weighting': 'none'} - results: {'ROC_AUC': 0.08128955634079328, 'PRECISION': 0.03277913992452096, 'RECALL': 0.03169717869352002, 'RECALL_TEST_LEN': 0.03277913992452096, 'MAP': 0.014661791841084407, 'MRR': 0.05773014270490295, 'NDCG': 0.02857007988094381, 'F1': 0.03222908124648156, 'HIT_RATE': 0.17597173144876324, 'ARHR': 0.06616058908840346, 'NOVELTY': 0.006771929117172101, 'DIVERSITY_MEAN_INTER_LIST': 0.7876784440064295, 'DIVERSITY_HERFINDAHL': 0.9787598920690528, 'COVERAGE_ITEM': 0.2514659559001696, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.16986589556470477, 'SHANNON_ENTROPY': 8.333654919459068}
BayesianSearch: Config is suboptimal. Config: {'topK': 300, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9022715776524068, 'feature_weighting': 'none'} - results: {'ROC_AUC': 0.08218486735094523, 'PRECISION': 0.033895539370047106, 'RECALL': 0.032726160844394635, 'RECALL_TEST_LEN': 0.033895539370047106, 'MAP': 0.015023557062438329, 'MRR': 0.05897378268150606, 'NDCG': 0.029390362385756316, 'F1': 0.03330058733899478, 'HIT_RATE': 0.18485613326602726, 'ARHR': 0.06820252718284019, 'NOVELTY': 0.006743017551271772, 'DIVERSITY_MEAN_INTER_LIST': 0.7871369141741535, 'DIVERSITY_HERFINDAHL': 0.9787057445530623, 'COVERAGE_ITEM': 0.2465713593409256, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.16028181657758928, 'SHANNON_ENTROPY': 8.24891780676689}
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'shrink': 300, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9204399103746845, 'feature_weighting': 'TF-IDF'} - results: {'ROC_AUC': 0.0808537495092268, 'PRECISION': 0.03337459836702639, 'RECALL': 0.0321941746019087, 'RECALL_TEST_LEN': 0.03337459836702639, 'MAP': 0.014640177809116056, 'MRR': 0.05775369983093354, 'NDCG': 0.028697323995082444, 'F1': 0.032773760997652994, 'HIT_RATE': 0.17980817768803634, 'ARHR': 0.06656330376673648, 'NOVELTY': 0.006759378148867538, 'DIVERSITY_MEAN_INTER_LIST': 0.7875920905304757, 'DIVERSITY_HERFINDAHL': 0.9787512575932744, 'COVERAGE_ITEM': 0.24603828446813666, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.1693922710809802, 'SHANNON_ENTROPY': 8.29118475851342}
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5178958732270031, 'feature_weighting': 'TF-IDF'} - results: {'ROC_AUC': 0.0848477240130447, 'PRECISION': 0.03453999503217063, 'RECALL': 0.03331393249326063, 'RECALL_TEST_LEN': 0.03453999503217063, 'MAP': 0.015344073323049184, 'MRR': 0.06034939063964817, 'NDCG': 0.02992900680376387, 'F1': 0.03391588681106272, 'HIT_RATE': 0.18606764260474506, 'ARHR': 0.06939688949784878, 'NOVELTY': 0.0067126798597268835, 'DIVERSITY_MEAN_INTER_LIST': 0.7869548860377137, 'DIVERSITY_HERFINDAHL': 0.9786875435771581, 'COVERAGE_ITEM': 0.24099830385267748, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.15394144655692693, 'SHANNON_ENTROPY': 8.18703331830171}
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'shrink': 10, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.05607878624072993, 'feature_weighting': 'BM25'} - results: {'ROC_AUC': 0.08190716969944647, 'PRECISION': 0.03473694542599134, 'RECALL': 0.03355583457443145, 'RECALL_TEST_LEN': 0.03473694542599134, 'MAP': 0.01525483226644556, 'MRR': 0.05913026930442383, 'NDCG': 0.029734405083511287, 'F1': 0.03413617645462382, 'HIT_RATE': 0.18546188793538618, 'ARHR': 0.068399798081777, 'NOVELTY': 0.006779608969039917, 'DIVERSITY_MEAN_INTER_LIST': 0.7877834785877794, 'DIVERSITY_HERFINDAHL': 0.978770394466768, 'COVERAGE_ITEM': 0.25621516840319847, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.17497426764550675, 'SHANNON_ENTROPY': 8.346692574475533}
BayesianSearch: Config is suboptimal. Config: {'topK': 10, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.011374019274771996, 'feature_weighting': 'TF-IDF'} - results: {'ROC_AUC': 0.06097809748163107, 'PRECISION': 0.022762874289880723, 'RECALL': 0.02205819598906477, 'RECALL_TEST_LEN': 0.022762874289880723, 'MAP': 0.01067729532218968, 'MRR': 0.04436800397426336, 'NDCG': 0.020502962111855084, 'F1': 0.022404995652078197, 'HIT_RATE': 0.11751640585562848, 'ARHR': 0.0487674575130405, 'NOVELTY': 0.006924665707142765, 'DIVERSITY_MEAN_INTER_LIST': 0.7821484270195289, 'DIVERSITY_HERFINDAHL': 0.9782069462009229, 'COVERAGE_ITEM': 0.3523624909134965, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.22847212156854252, 'SHANNON_ENTROPY': 8.733432924671453}
BayesianSearch: Config is suboptimal. Config: {'topK': 20, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.013528951035209902, 'feature_weighting': 'TF-IDF'} - results: {'ROC_AUC': 0.06122755061977689, 'PRECISION': 0.02480333004815578, 'RECALL': 0.024361306221653636, 'RECALL_TEST_LEN': 0.02480333004815578, 'MAP': 0.011713708614299932, 'MRR': 0.04419797601019202, 'NDCG': 0.02190829457612666, 'F1': 0.024580331086102768, 'HIT_RATE': 0.1171125694093892, 'ARHR': 0.048816735174635174, 'NOVELTY': 0.00695367062222136, 'DIVERSITY_MEAN_INTER_LIST': 0.7777833868438371, 'DIVERSITY_HERFINDAHL': 0.9777704862524116, 'COVERAGE_ITEM': 0.34528713351102497, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.22847934411430054, 'SHANNON_ENTROPY': 8.689410764261595}
BayesianSearch: Config is suboptimal. Config: {'topK': 600, 'shrink': 500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1044781830969272, 'feature_weighting': 'BM25'} - results: {'ROC_AUC': 0.08204138121679784, 'PRECISION': 0.03469640152880937, 'RECALL': 0.03351817522329406, 'RECALL_TEST_LEN': 0.03469640152880937, 'MAP': 0.01530465656732152, 'MRR': 0.05925033853352891, 'NDCG': 0.02977590980492476, 'F1': 0.03409711300523579, 'HIT_RATE': 0.18536092882382635, 'ARHR': 0.06852295217262415, 'NOVELTY': 0.006778999823899067, 'DIVERSITY_MEAN_INTER_LIST': 0.7877810912065266, 'DIVERSITY_HERFINDAHL': 0.9787701557527455, 'COVERAGE_ITEM': 0.25640901381148534, 'COVERAGE_USER': 0.19634857074891965, 'DIVERSITY_GINI': 0.17464251660617133, 'SHANNON_ENTROPY': 8.345798611482543}
